Well	Assay_Plate	Well_type
H19	DR_assay_plate	Blank
H20	DR_assay_plate	Blank
H21	DR_assay_plate	Blank
H22	DR_assay_plate	Blank
H23	DR_assay_plate	Blank
H24	DR_assay_plate	Blank
I1	DR_assay_plate	Blank
I2	DR_assay_plate	Blank
I3	DR_assay_plate	Blank
I4	DR_assay_plate	Blank
I5	DR_assay_plate	Blank
I6	DR_assay_plate	Blank
I7	DR_assay_plate	Blank
I8	DR_assay_plate	Blank
I9	DR_assay_plate	Blank
I10	DR_assay_plate	Blank
I11	DR_assay_plate	Blank
I12	DR_assay_plate	Blank
I13	DR_assay_plate	Blank
I14	DR_assay_plate	Blank
I15	DR_assay_plate	Blank
I16	DR_assay_plate	Blank
I17	DR_assay_plate	Blank
I18	DR_assay_plate	Blank
I19	DR_assay_plate	Blank
I20	DR_assay_plate	Blank
I21	DR_assay_plate	Blank
I22	DR_assay_plate	Blank
I23	DR_assay_plate	Blank
I24	DR_assay_plate	Blank
J1	DR_assay_plate	Blank
J2	DR_assay_plate	Blank
J3	DR_assay_plate	Blank
J4	DR_assay_plate	Blank
J5	DR_assay_plate	Blank
J6	DR_assay_plate	Blank
J7	DR_assay_plate	Blank
J8	DR_assay_plate	Blank
J9	DR_assay_plate	Blank
J10	DR_assay_plate	Blank
J11	DR_assay_plate	Blank
J12	DR_assay_plate	Blank
J13	DR_assay_plate	Blank
J14	DR_assay_plate	Blank
J15	DR_assay_plate	Blank
J16	DR_assay_plate	Blank
J17	DR_assay_plate	Blank
J18	DR_assay_plate	Blank
J19	DR_assay_plate	Blank
J20	DR_assay_plate	Blank
J21	DR_assay_plate	Blank
J22	DR_assay_plate	Blank
J23	DR_assay_plate	Blank
J24	DR_assay_plate	Blank
K1	DR_assay_plate	Blank
K2	DR_assay_plate	Blank
K3	DR_assay_plate	Blank
K4	DR_assay_plate	Blank
K5	DR_assay_plate	Blank
K6	DR_assay_plate	Blank
K7	DR_assay_plate	Blank
K8	DR_assay_plate	Blank
K9	DR_assay_plate	Blank
K10	DR_assay_plate	Blank
K11	DR_assay_plate	Blank
K12	DR_assay_plate	Blank
K13	DR_assay_plate	Blank
K14	DR_assay_plate	Blank
K15	DR_assay_plate	Blank
K16	DR_assay_plate	Blank
K17	DR_assay_plate	Blank
K18	DR_assay_plate	Blank
K19	DR_assay_plate	Blank
K20	DR_assay_plate	Blank
K21	DR_assay_plate	Blank
K22	DR_assay_plate	Blank
K23	DR_assay_plate	Blank
K24	DR_assay_plate	Blank
L1	DR_assay_plate	Blank
L2	DR_assay_plate	Blank
L3	DR_assay_plate	Blank
L4	DR_assay_plate	Blank
L5	DR_assay_plate	Blank
L6	DR_assay_plate	Blank
L7	DR_assay_plate	Blank
L8	DR_assay_plate	Blank
L9	DR_assay_plate	Blank
L10	DR_assay_plate	Blank
L11	DR_assay_plate	Blank
L12	DR_assay_plate	Blank
L13	DR_assay_plate	Blank
L14	DR_assay_plate	Blank
L15	DR_assay_plate	Blank
L16	DR_assay_plate	Blank
L17	DR_assay_plate	Blank
L18	DR_assay_plate	Blank
L19	DR_assay_plate	Blank
L20	DR_assay_plate	Blank
L21	DR_assay_plate	Blank
L22	DR_assay_plate	Blank
L23	DR_assay_plate	Blank
L24	DR_assay_plate	Blank
M1	DR_assay_plate	Blank
M2	DR_assay_plate	Blank
M3	DR_assay_plate	Blank
M4	DR_assay_plate	Blank
M5	DR_assay_plate	Blank
M6	DR_assay_plate	Blank
M7	DR_assay_plate	Blank
M8	DR_assay_plate	Blank
M9	DR_assay_plate	Blank
M10	DR_assay_plate	Blank
M11	DR_assay_plate	Blank
M12	DR_assay_plate	Blank
M13	DR_assay_plate	Blank
M14	DR_assay_plate	Blank
M15	DR_assay_plate	Blank
M16	DR_assay_plate	Blank
M17	DR_assay_plate	Blank
M18	DR_assay_plate	Blank
M19	DR_assay_plate	Blank
M20	DR_assay_plate	Blank
M21	DR_assay_plate	Blank
M22	DR_assay_plate	Blank
M23	DR_assay_plate	Blank
M24	DR_assay_plate	Blank
N1	DR_assay_plate	Blank
N2	DR_assay_plate	Blank
N3	DR_assay_plate	Blank
N4	DR_assay_plate	Blank
N5	DR_assay_plate	Blank
N6	DR_assay_plate	Blank
N7	DR_assay_plate	Blank
N8	DR_assay_plate	Blank
N9	DR_assay_plate	Blank
N10	DR_assay_plate	Blank
N11	DR_assay_plate	Blank
N12	DR_assay_plate	Blank
N13	DR_assay_plate	Blank
N14	DR_assay_plate	Blank
N15	DR_assay_plate	Blank
N16	DR_assay_plate	Blank
N17	DR_assay_plate	Blank
N18	DR_assay_plate	Blank
N19	DR_assay_plate	Blank
N20	DR_assay_plate	Blank
N21	DR_assay_plate	Blank
N22	DR_assay_plate	Blank
N23	DR_assay_plate	Blank
N24	DR_assay_plate	Blank
O1	DR_assay_plate	Blank
O2	DR_assay_plate	Blank
O3	DR_assay_plate	Blank
O4	DR_assay_plate	Blank
O5	DR_assay_plate	Blank
O6	DR_assay_plate	Blank
O7	DR_assay_plate	Blank
O8	DR_assay_plate	Blank
O9	DR_assay_plate	Blank
O10	DR_assay_plate	Blank
O11	DR_assay_plate	Blank
O12	DR_assay_plate	Blank
O13	DR_assay_plate	Blank
O14	DR_assay_plate	Blank
O15	DR_assay_plate	Blank
O16	DR_assay_plate	Blank
O17	DR_assay_plate	Blank
O18	DR_assay_plate	Blank
O19	DR_assay_plate	Blank
O20	DR_assay_plate	Blank
O21	DR_assay_plate	Blank
O22	DR_assay_plate	Blank
O23	DR_assay_plate	Blank
O24	DR_assay_plate	Blank
P1	DR_assay_plate	Blank
P2	DR_assay_plate	Blank
P3	DR_assay_plate	Blank
P4	DR_assay_plate	Blank
P5	DR_assay_plate	Blank
P6	DR_assay_plate	Blank
P7	DR_assay_plate	Blank
P8	DR_assay_plate	Blank
P9	DR_assay_plate	Blank
P10	DR_assay_plate	Blank
P11	DR_assay_plate	Blank
P12	DR_assay_plate	Blank
P13	DR_assay_plate	Blank
P14	DR_assay_plate	Blank
P15	DR_assay_plate	Blank
P16	DR_assay_plate	Blank
P17	DR_assay_plate	Blank
P18	DR_assay_plate	Blank
P19	DR_assay_plate	Blank
P20	DR_assay_plate	Blank
P21	DR_assay_plate	Blank
P22	DR_assay_plate	Blank
P23	DR_assay_plate	Blank
P24	DR_assay_plate	Blank
